Time,device,humidity,temperature,Target
"April 29, 2023 at 06:35AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 06:50AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 07:05AM",Sensor_data,70,27,cool_and_humid
"April 29, 2023 at 07:20AM",Sensor_data,70,27,cool_and_humid
"April 29, 2023 at 07:35AM",Sensor_data,72,27,cool_and_humid
"April 29, 2023 at 07:50AM",Sensor_data,74,26,cool_and_humid
"April 29, 2023 at 08:05AM",Sensor_data,73,26,cool_and_humid
"April 29, 2023 at 08:20AM",Sensor_data,75,26,cool_and_humid
"April 29, 2023 at 08:35AM",Sensor_data,74,27,cool_and_humid
"April 29, 2023 at 08:50AM",Sensor_data,74,27,cool_and_humid
"April 29, 2023 at 09:05AM",Sensor_data,74,27,cool_and_humid
"April 29, 2023 at 09:20AM",Sensor_data,74,27,cool_and_humid
"April 29, 2023 at 09:35AM",Sensor_data,74,27,cool_and_humid
"April 29, 2023 at 09:50AM",Sensor_data,74,27,cool_and_humid
"April 29, 2023 at 10:05AM",Sensor_data,73,27,cool_and_humid
"April 29, 2023 at 10:20AM",Sensor_data,70,27,cool_and_humid
"April 29, 2023 at 10:35AM",Sensor_data,71,27,cool_and_humid
"April 29, 2023 at 10:50AM",Sensor_data,71,27,cool_and_humid
"April 29, 2023 at 11:05AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 11:20AM",Sensor_data,67,27,cool_and_humid
"April 29, 2023 at 11:35AM",Sensor_data,67,28,cool_and_humid
"April 29, 2023 at 11:50AM",Sensor_data,67,28,cool_and_humid
"April 29, 2023 at 12:05PM",Sensor_data,67,28,cool_and_humid
"April 29, 2023 at 12:20PM",Sensor_data,67,28,cool_and_humid
"April 29, 2023 at 12:35PM",Sensor_data,62,28,cool_and_humid
"April 29, 2023 at 12:51PM",Sensor_data,64,29,cool_and_humid
"April 29, 2023 at 01:06PM",Sensor_data,60,29,cool_and_dry
"April 29, 2023 at 01:21PM",Sensor_data,60,29,cool_and_dry
"April 29, 2023 at 01:36PM",Sensor_data,60,29,cool_and_dry
"April 29, 2023 at 01:51PM",Sensor_data,62,29,cool_and_humid
"April 29, 2023 at 02:06PM",Sensor_data,61,29,cool_and_humid
"April 29, 2023 at 02:21PM",Sensor_data,56,29,cool_and_dry
"April 29, 2023 at 02:36PM",Sensor_data,53,30,cool_and_dry
"April 29, 2023 at 02:51PM",Sensor_data,55,30,cool_and_dry
"April 29, 2023 at 03:06PM",Sensor_data,55,30,cool_and_dry
"April 29, 2023 at 03:21PM",Sensor_data,55,30,cool_and_dry
"April 29, 2023 at 03:36PM",Sensor_data,56,30,cool_and_dry
"April 29, 2023 at 03:51PM",Sensor_data,55,30,cool_and_dry
"April 29, 2023 at 04:06PM",Sensor_data,54,30,cool_and_dry
"April 29, 2023 at 04:21PM",Sensor_data,54,30,cool_and_dry
"April 29, 2023 at 04:36PM",Sensor_data,54,30,cool_and_dry
"April 29, 2023 at 04:51PM",Sensor_data,54,30,cool_and_dry
